,Shallow/Recent,Shallow/Personalized,Deep/Recent,Deep/Personalized
young,0.019667340975500113,0.014890986738592942,0.013036637446617217,0.017419644864014386
middle,0.013271604938271606,0.012037037037037037,0.01316872427983539,0.011831275720164609
adult,0.016044531761624098,0.02101069635450775,0.013697882558393364,0.019646365422396856
senior,0.013388734995383195,0.014542936288088643,0.014081255771006464,0.02100646352723915
mens,0.011945392491467578,0.012798634812286689,0.009030147895335608,0.00938566552901024
ladies,0.01741159714323773,0.018052011927084933,0.018618138596005862,0.01860020698205814
kids,0.005723443223443223,0.005227411477411477,0.004998473748473748,0.003701159951159951
divided,0.022779700115340255,0.022606689734717418,0.015599769319492503,0.015455594002306805
sportswear,0.014187116564417178,0.013164621676891615,0.01111963190184049,0.009713701431492843
discount,0.011807690593949115,0.011863387247694158,0.009880586374370628,0.01001425834335873
autumn,0.011014218673390768,0.006540239546123135,0.010620228339286965,0.005804790922462702
global,0.012644595133625848,0.016731817577449806,0.022172583433054116,0.021817577449807207
