,Shallow/Recent,Shallow/Personalized,Deep/Recent,Deep/Personalized
young,0.04296059899349454,0.03252731066650301,0.028476739904259238,0.038050816251380876
middle,0.031843989138484324,0.02888175759071834,0.031597136509503826,0.028388052332757343
adult,0.031120990790727214,0.0407536784164285,0.026569281253307927,0.03810733566211496
senior,0.03689567430025445,0.04007633587786259,0.03880407124681934,0.05788804071246819
mens,0.027842227378190254,0.029830957905203844,0.02104739807756049,0.021876035797149487
ladies,0.011874044634668297,0.012310783072018168,0.012696859850635454,0.012684631174389657
kids,0.009518974489148369,0.008693996700088844,0.00831323772052291,0.006155603502982612
divided,0.04800972348830143,0.047645092676997874,0.03287754481920389,0.03257368580978426
sportswear,0.03304554927061625,0.030663888061923193,0.025900565644537063,0.022625781482584102
discount,0.015889195347163928,0.015964144381820363,0.013295958748051326,0.013475836431226766
autumn,0.02080542462581659,0.012354254527412553,0.02006119242537005,0.010965021086579013
global,0.004764999351138364,0.0063052315283622686,0.008355534088284265,0.008221753349403723
