,Shallow/Recent,Shallow/Personalized,Deep/Recent,Deep/Personalized
young,0.011968981793661498,0.008822207237581479,0.007585974376264329,0.010283209710047201
middle,0.008641975308641974,0.008024691358024692,0.008641975308641974,0.008127572016460905
adult,0.009768609473913992,0.012879283999126828,0.007640253219821,0.011296660117878193
senior,0.008541089566020314,0.008771929824561403,0.008771929824561403,0.011311172668513388
mens,0.010452218430034129,0.010452218430034129,0.0075369738339021615,0.0075369738339021615
ladies,0.007129097373787054,0.007241810375744162,0.007451866424846044,0.007426249833492157
kids,0.004922161172161172,0.004922161172161172,0.004197191697191697,0.00434981684981685
divided,0.01583044982698962,0.015859284890426758,0.010207612456747405,0.010236447520184544
sportswear,0.011247443762781187,0.011247443762781187,0.008563394683026585,0.008563394683026585
discount,0.009067415229693,0.009078554560442008,0.0073742369558436925,0.007441072940337744
autumn,0.008291307697695594,0.0025478041605379283,0.007844785319044617,0.002652868249632276
global,0.002356069671586225,0.0034689535965961972,0.0035221380135620262,0.003934317245047201
