,Shallow/Recent,Shallow/Personalized,Deep/Recent,Deep/Personalized
young,0.051648884578079535,0.038069835111542195,0.03273520853540252,0.04437439379243453
middle,0.036410923276983094,0.033810143042912875,0.036410923276983094,0.03424360641525791
adult,0.03716777408637874,0.049003322259136214,0.029069767441860465,0.04298172757475083
senior,0.043173862310385065,0.044340723453908985,0.044340723453908985,0.057176196032672114
mens,0.03395703395703396,0.03395703395703396,0.024486024486024487,0.024486024486024487
ladies,0.02594146159582401,0.026351603281133482,0.027115958240119312,0.0270227442207308
kids,0.01109963861641714,0.01109963861641714,0.009464808122526243,0.00980898296334538
divided,0.06159542241669472,0.061707618085941884,0.03971726691349714,0.03982946258274431
sportswear,0.03900709219858156,0.03900709219858156,0.02969858156028369,0.02969858156028369
discount,0.023642859217520115,0.02367190449911412,0.019227976415231347,0.019402248104795378
autumn,0.02431197371123434,0.007470733210104745,0.023002669952762376,0.007778804682686383
global,0.008453754812485986,0.012446865861047368,0.012637695540787459,0.014116625558773155
